,data_id,cluster_label
0,9772658,47
1,9772675,47
2,9772677,47
3,9772678,24
4,9772704,52
5,9772706,53
6,9772726,85
7,9772877,4
8,9772878,97
9,9772879,6
10,9772880,6
11,9772881,51
12,9772882,51
13,9772905,43
14,9772906,57
15,9772908,57
16,9772918,27
17,9772925,57
18,9774274,43
19,9774284,27
20,9790399,90
21,9790499,47
22,9790500,47
23,9790773,18
24,9802070,56
25,9816753,41
26,9839197,7
27,9839224,7
28,9772654,18
29,9772666,0
30,9772668,34
31,9772669,34
32,9772670,34
33,9772671,41
34,9772672,47
35,9772689,7
36,9772693,27
37,9772703,57
38,9772719,12
39,9772835,53
40,9772838,24
41,9772869,57
42,9772870,4
43,9772873,65
44,9772874,97
45,9772875,4
46,9772876,51
47,9772913,57
48,9772914,57
49,9772915,57
50,9772916,57
51,9773952,5
52,9774278,43
53,9774283,27
54,9790929,5
55,9802055,5
56,9839184,27
57,9840101,76
58,9840104,76
59,9840105,76
60,9840106,76
61,9772655,47
62,9772657,28
63,9772667,47
64,9772687,27
65,9772688,27
66,9772696,7
67,9772709,27
68,9772721,12
69,9772723,12
70,9772724,12
71,9772729,5
72,9772742,85
73,9772826,24
74,9772839,28
75,9772850,31
76,9772855,51
77,9772860,79
78,9772861,96
79,9772862,97
80,9772863,97
81,9772864,65
82,9772865,65
83,9772866,51
84,9772867,31
85,9772868,51
86,9772871,41
87,9772872,57
88,9772929,18
89,9774273,57
90,9774281,27
91,9790935,5
92,9791226,27
93,9839201,5
94,9839222,41
95,9839226,57
96,9840099,76
97,9772686,7
98,9772695,7
99,9772701,7
100,9772841,79
101,9772849,51
102,9772851,97
103,9772852,51
104,9772853,65
105,9772854,51
106,9772856,65
107,9772857,51
108,9772858,31
109,9772859,4
110,9772917,57
111,9772924,57
112,9773951,5
113,9774271,5
114,9794995,5
115,9840098,76
116,9840100,76
117,9772662,47
118,9772743,85
119,9772837,4
120,9772840,57
121,9772842,96
122,9772843,51
123,9772844,51
124,9772845,97
125,9772846,31
126,9772847,51
127,9772848,31
128,9772907,43
129,9772909,24
130,9772912,57
131,9772927,57
132,9772928,57
133,9774276,57
134,9774279,5
135,9790520,27
136,9794996,7
137,9817461,5
138,9714407,47
139,9714408,47
140,9714515,52
141,9714856,51
142,9714857,52
143,9714858,51
144,9714859,51
145,9714860,97
146,9714861,97
147,9714862,51
148,9714863,97
149,9715089,18
150,9715090,41
151,9715104,57
152,9729752,7
153,9772720,85
154,9772910,43
155,9772911,41
156,9772921,57
157,9772922,57
158,9772923,57
159,9774277,57
160,9790934,5
161,9836234,43
162,9839124,27
163,9839792,7
164,9714403,47
165,9714406,93
166,9714513,7
167,9714617,12
168,9714619,12
169,9714651,85
170,9714652,85
171,9714697,55
172,9714853,27
173,9714854,79
174,9714855,97
175,9729751,7
176,9772660,57
177,9772702,7
178,9772722,12
179,9772744,90
180,9773953,5
181,9774280,5
182,9839111,27
183,9839123,27
184,9714404,47
185,9714411,27
186,9714506,27
187,9714521,57
188,9714522,43
189,9714618,85
190,9714696,76
191,9714698,76
192,9714836,53
193,9714837,57
194,9714838,79
195,9714842,97
196,9714843,96
197,9714844,51
198,9714845,51
199,9714846,65
200,9714847,97
201,9714848,51
202,9714849,51
203,9714850,51
204,9714851,79
205,9714852,31
206,9715085,18
207,9715086,18
208,9715088,57
209,9715092,57
210,9729710,52
211,9729747,27
212,9729759,38
213,9772673,47
214,9772691,57
215,9772700,7
216,9772714,57
217,9790694,31
218,9790925,5
219,9817460,5
220,9839106,7
221,9714398,47
222,9714399,47
223,9714400,47
224,9714401,47
225,9714405,47
226,9714409,28
227,9714497,27
228,9714519,51
229,9714620,85
230,9714822,74
231,9714823,79
232,9714826,24
233,9714827,74
234,9714828,97
235,9714829,97
236,9714830,97
237,9714831,51
238,9714832,51
239,9714833,97
240,9714834,79
241,9714840,27
242,9714841,57
243,9715087,57
244,9715094,57
245,9729757,41
246,9729758,27
247,9773006,5
248,9839343,5
249,9713872,56
250,9714391,47
251,9714396,34
252,9714410,43
253,9714490,7
254,9714616,85
255,9714809,4
256,9714810,53
257,9714811,53
258,9714812,65
259,9714813,51
260,9714814,97
261,9714815,97
262,9714816,97
263,9714817,97
264,9714818,97
265,9714819,97
266,9714820,51
267,9714821,79
268,9714824,53
269,9714825,53
270,9715093,43
271,9715096,57
272,9715105,57
273,9714393,47
274,9714395,47
275,9714502,57
276,9714622,85
277,9714650,85
278,9714785,31
279,9714790,53
280,9714791,28
281,9714792,74
282,9714793,74
283,9714794,74
284,9714795,97
285,9714796,97
286,9714797,97
287,9714798,65
288,9714799,65
289,9714800,65
290,9714801,97
291,9714802,51
292,9714806,79
293,9714839,79
294,9715095,18
295,9729448,5
296,9729749,7
297,9729750,7
298,9729756,18
299,9772692,27
300,9772716,41
301,9772741,52
302,9773950,5
303,9790930,5
304,9790932,5
305,9816796,85
306,9714388,47
307,9714389,47
308,9714402,47
309,9714504,7
310,9714690,76
311,9714691,76
312,9714692,76
313,9714783,53
314,9714784,28
315,9714786,51
316,9714787,97
317,9714788,97
318,9714789,65
319,9714803,53
320,9714805,53
321,9714808,51
322,9715097,57
323,9715098,41
324,9715103,57
325,9729447,5
326,9729748,7
327,9729755,52
328,9772740,52
329,9825179,57
330,9839103,7
331,9714397,47
332,9714437,52
333,9714438,52
334,9714547,51
335,9714554,52
336,9714649,27
337,9714693,76
338,9714694,76
339,9714695,76
340,9714782,24
341,9714804,53
342,9714807,74
343,9714967,53
344,9714968,53
345,9714984,51
346,9714985,65
347,9714986,97
348,9714987,97
349,9715027,24
350,9715052,27
351,9715100,57
352,9715101,41
353,9715102,41
354,9727412,5
355,9728173,27
356,9728209,5
357,9729446,5
358,9772698,7
359,9772725,12
360,9839151,27
361,9839236,52
362,9714428,52
363,9714452,41
364,9714475,47
365,9714605,5
366,9714615,85
367,9714635,12
368,9714637,12
369,9714643,85
370,9714982,65
371,9715045,27
372,9715047,74
373,9715050,79
374,9715051,79
375,9727411,5
376,9728184,7
377,9728208,41
378,9729754,18
379,9772705,5
380,9772715,43
381,9714390,47
382,9714394,47
383,9714427,93
384,9714446,47
385,9714534,51
386,9714548,52
387,9714632,90
388,9714634,12
389,9714638,12
390,9714639,12
391,9714781,27
392,9714981,31
393,9714990,79
394,9715044,65
395,9715046,51
396,9715049,4
397,9715054,4
398,9715058,28
399,9715060,27
400,9728121,41
401,9728207,57
402,9790767,43
403,9825181,57
404,9839132,27
405,9714392,0
406,9714417,47
407,9714425,47
408,9714440,47
409,9714471,34
410,9714621,12
411,9714780,27
412,9714920,74
413,9714963,53
414,9714975,97
415,9714976,97
416,9714977,97
417,9714978,97
418,9714979,97
419,9714992,97
420,9715034,65
421,9715035,97
422,9715040,79
423,9715042,31
424,9715053,79
425,9715055,74
426,9715065,57
427,9715077,24
