,data_id,cluster_label
0,9772591,17
1,9772630,76
2,9772632,96
3,9772646,76
4,9772647,76
5,9772648,76
6,9772651,69
7,9773955,50
8,9773956,50
9,9773961,54
10,9773970,54
11,9773976,30
12,9773987,58
13,9774004,87
14,9774006,87
15,9774007,50
16,9774010,54
17,9790960,54
18,9790977,40
19,9772579,67
20,9772587,90
21,9772588,74
22,9772592,39
23,9772627,39
24,9772628,39
25,9772631,96
26,9772633,95
27,9772652,11
28,9773957,54
29,9773975,54
30,9773998,54
31,9774025,87
32,9774031,40
33,9774045,87
34,9790950,30
35,9794002,11
36,9801961,32
37,9824723,83
38,9772571,32
39,9772578,49
40,9772585,32
41,9772590,0
42,9772611,11
43,9772616,11
44,9772634,78
45,9772642,40
46,9773973,54
47,9773981,58
48,9773982,58
49,9773991,22
50,9774022,68
51,9774028,75
52,9774037,79
53,9774038,79
54,9774044,87
55,9790405,11
56,9790406,11
57,9790407,11
58,9790420,67
59,9794000,11
60,9794001,11
61,9801960,31
62,9817497,75
63,9772582,15
64,9772583,15
65,9772596,69
66,9772597,69
67,9772600,78
68,9772608,32
69,9772617,83
70,9772618,83
71,9772619,83
72,9772620,83
73,9772621,83
74,9772622,83
75,9772623,83
76,9772625,1
77,9772626,15
78,9773972,54
79,9773995,54
80,9773996,54
81,9774000,68
82,9774033,86
83,9774036,75
84,9790408,95
85,9790409,32
86,9790410,76
87,9790413,95
88,9772580,15
89,9772581,15
90,9772594,69
91,9772595,69
92,9772609,32
93,9772624,76
94,9773960,54
95,9773965,54
96,9774019,40
97,9774021,68
98,9774023,74
99,9790411,11
100,9801968,17
101,9713963,69
102,9729488,30
103,9772576,67
104,9772598,1
105,9772601,44
106,9772603,49
107,9773967,30
108,9773971,30
109,9774015,0
110,9774020,68
111,9774032,86
112,9824721,78
113,9713962,69
114,9713964,95
115,9713969,51
116,9713970,51
117,9713977,1
118,9729484,54
119,9729485,54
120,9729486,58
121,9729487,68
122,9729503,79
123,9772599,40
124,9772602,83
125,9773978,58
126,9773993,22
127,9774016,0
128,9774024,74
129,9713960,11
130,9713961,17
131,9713965,12
132,9713966,12
133,9713967,39
134,9713968,12
135,9713972,44
136,9713975,95
137,9729450,87
138,9729480,54
139,9729481,58
140,9729482,58
141,9729483,58
142,9729502,79
143,9772636,1
144,9773969,58
145,9773984,22
146,9773989,54
147,9774017,0
148,9790471,32
149,9790970,75
150,9793984,15
151,9835976,75
152,9713946,95
153,9713955,11
154,9713956,51
155,9713957,11
156,9713958,67
157,9713959,99
158,9713974,76
159,9729478,22
160,9729479,58
161,9729504,79
162,9772637,1
163,9773980,54
164,9773983,68
165,9773997,86
166,9713943,11
167,9713944,11
168,9713945,95
169,9713947,39
170,9713948,39
171,9713949,76
172,9713950,11
173,9713951,11
174,9713952,51
175,9713953,11
176,9713954,11
177,9729473,54
178,9729474,86
179,9729475,86
180,9729476,86
181,9729477,75
182,9729491,86
183,9773959,54
184,9773964,54
185,9773974,54
186,9812274,44
187,9835978,58
188,9713934,95
189,9713936,58
190,9713937,11
191,9713938,95
192,9713939,95
193,9713940,95
194,9713941,78
195,9713942,65
196,9729470,68
197,9729471,30
198,9729472,58
199,9729505,50
200,9773985,22
201,9773988,54
202,9774008,30
203,9790404,78
204,9816628,65
205,9835986,68
206,9713929,95
207,9713930,39
208,9713931,31
209,9713933,95
210,9729467,30
211,9729468,22
212,9729469,58
213,9729501,86
214,9729508,0
215,9790403,99
216,9790474,32
217,9840222,95
218,9713874,20
219,9713907,83
220,9713917,76
221,9713918,76
222,9713919,78
223,9713920,31
224,9713921,78
225,9713922,78
226,9713923,93
227,9713924,65
228,9714160,83
229,9714201,11
230,9727512,50
231,9729451,50
232,9729500,68
233,9772577,90
234,9790402,76
235,9793981,11
236,9793982,11
237,9793993,11
238,9816666,93
239,9713905,40
240,9713906,83
241,9714086,90
242,9714131,67
243,9714218,15
244,9714312,93
245,9729464,58
246,9729465,22
247,9729466,58
248,9729492,50
249,9729498,68
250,9729499,0
251,9790974,0
252,9793989,67
253,9713984,15
254,9714005,15
255,9714034,39
256,9714062,76
257,9714063,76
258,9714117,67
259,9714345,32
260,9729463,30
261,9729496,68
262,9729497,40
263,9729507,68
264,9773990,22
265,9714050,95
266,9714119,40
267,9714181,39
268,9714182,65
269,9714184,65
270,9727420,50
271,9727471,30
272,9727472,30
273,9727510,74
274,9727511,74
275,9729495,40
276,9773986,58
277,9816563,76
278,9714197,93
279,9714199,95
280,9714212,32
281,9714309,76
282,9727481,86
283,9727508,0
284,9727509,86
285,9727514,40
286,9793992,11
287,9812268,44
288,9816643,7
289,9817494,75
290,9817496,75
291,9714095,99
292,9714097,99
293,9714130,39
294,9714196,45
295,9714228,31
296,9714276,40
297,9714278,40
298,9714295,99
299,9714307,7
300,9727507,40
301,9775552,1
302,9713978,78
303,9714051,93
304,9714061,76
305,9714088,93
306,9714093,93
307,9714105,12
308,9714123,67
309,9714185,67
310,9714200,95
311,9714292,12
312,9714294,17
313,9714308,93
314,9727469,40
315,9727470,54
316,9727506,40
317,9793987,67
318,9793990,67
319,9713903,44
320,9713904,78
321,9713908,78
322,9713981,15
323,9714032,78
324,9714118,67
325,9714152,80
326,9714211,67
327,9714213,80
328,9714239,76
329,9727465,54
330,9727466,22
331,9727467,54
332,9727468,68
333,9727505,68
334,9773962,54
335,9774027,68
336,9816578,55
337,9713983,51
338,9714038,12
339,9714079,67
340,9714083,67
341,9714092,17
342,9714190,67
343,9714209,96
344,9714210,11
345,9714221,67
346,9714226,80
347,9714269,51
348,9714314,7
349,9714337,32
350,9727463,54
351,9727464,58
352,9727501,50
353,9727502,0
354,9727503,0
355,9727504,40
356,9801805,39
357,9713916,93
358,9714140,83
359,9714143,99
360,9714144,83
361,9714146,83
362,9714252,51
363,9727421,87
364,9727461,91
365,9727462,58
366,9727529,87
367,9729460,54
368,9729461,54
369,9729462,54
370,9824722,93
371,9713862,90
372,9714003,12
373,9714067,80
374,9714107,12
375,9714139,83
376,9714141,83
377,9714142,83
378,9714195,31
379,9714265,75
380,9714310,31
381,9714316,76
382,9714363,58
383,9727459,30
384,9727460,58
385,9727479,74
386,9714000,66
387,9714001,66
388,9714002,12
389,9714164,76
390,9714299,67
391,9714302,67
392,9714347,32
393,9714351,67
394,9727457,54
395,9727458,58
396,9727499,40
397,9727500,40
398,9729458,54
399,9729459,30
400,9793997,67
401,9713993,78
402,9713996,78
403,9713999,78
404,9714012,78
405,9714013,66
406,9714044,39
407,9714066,44
408,9714177,40
409,9714208,45
410,9714224,80
411,9714251,67
412,9727455,54
413,9727456,54
414,9729457,54
415,9713864,90
416,9713865,90
417,9713866,90
418,9713867,90
419,9713992,78
420,9713994,78
421,9713995,78
422,9714011,78
423,9714073,12
424,9714203,11
425,9714204,96
426,9714205,11
427,9714206,11
428,9714207,11
429,9714246,11
430,9714247,15
431,9714248,51
432,9714249,51
433,9714250,51
434,9714350,44
435,9727453,54
436,9727454,58
437,9727480,75
438,9729455,91
439,9729456,30
440,9774001,30
441,9774002,30
442,9793988,55
443,9793996,11
444,9714075,39
445,9714078,21
446,9714163,31
447,9714175,31
448,9714186,96
449,9714187,96
450,9714192,96
451,9714235,39
452,9714244,40
453,9714349,15
454,9727497,0
455,9727498,0
456,9729454,30
457,9793991,96
458,9713902,31
459,9714042,21
460,9714064,76
461,9714065,76
462,9714068,76
463,9714069,76
464,9714162,76
465,9714242,40
466,9714285,21
467,9714298,65
468,9727494,86
469,9727495,86
470,9727496,0
471,9727513,68
472,9772641,1
473,9773966,75
474,9773968,75
475,9773979,75
476,9773992,50
477,9816646,7
478,9713982,15
479,9713990,78
480,9714007,66
481,9714008,76
482,9714009,66
483,9714010,66
484,9714110,65
485,9714236,83
486,9714238,44
487,9714348,44
488,9727450,22
489,9727451,68
490,9727452,58
491,9727482,40
492,9727493,0
493,9713863,90
494,9713870,32
495,9713980,15
496,9714039,45
497,9714046,95
498,9714077,21
499,9714085,12
500,9714191,80
501,9714223,31
502,9727447,54
503,9727448,91
504,9727449,58
505,9713861,90
506,9713979,15
507,9714006,39
508,9714040,45
509,9714041,67
510,9714045,45
511,9714173,21
512,9714193,80
513,9714227,31
514,9714232,44
515,9714234,15
516,9714284,21
517,9714313,66
518,9727419,86
519,9727442,22
520,9727443,30
521,9727444,30
522,9727445,58
523,9727446,50
524,9727490,86
525,9727491,68
526,9727492,75
527,9729494,86
528,9816656,78
529,9714024,45
530,9714037,45
531,9714072,12
532,9714074,12
533,9714080,17
534,9714136,83
535,9714138,83
536,9714178,45
537,9714229,95
538,9714231,95
539,9714233,15
540,9714334,78
541,9727439,54
542,9727440,54
543,9727441,91
544,9727488,75
545,9727489,75
546,9729453,54
547,9774009,86
548,9793986,67
549,9816662,78
550,9713986,78
551,9713989,78
552,9713997,39
553,9714017,67
554,9714043,12
555,9714058,76
556,9714060,76
557,9714070,12
558,9714081,78
559,9714129,39
560,9714134,83
561,9714135,83
562,9714230,95
563,9714237,65
564,9714277,65
565,9727417,58
566,9727435,54
567,9727436,22
568,9727437,58
569,9727438,68
570,9727487,68
571,9727530,50
572,9701816,44
573,9701818,45
574,9713860,20
575,9713901,99
576,9713985,76
577,9713991,76
578,9713998,12
579,9714049,45
580,9714059,76
581,9714161,1
582,9714291,17
583,9727434,91
584,9727485,68
585,9727486,0
586,9701727,58
587,9701796,40
588,9701799,68
589,9701819,40
590,9702679,68
591,9713859,90
592,9713868,31
593,9727433,91
594,9727484,86
595,9729506,75
596,9793979,67
597,9701783,21
598,9701787,21
599,9701788,21
600,9701789,21
601,9701798,31
602,9702645,58
603,9727415,50
604,9727483,0
605,9729452,54
606,9701725,90
607,9701766,45
608,9701767,39
609,9701768,39
610,9701771,44
611,9701778,78
612,9701779,78
613,9701780,99
614,9701785,78
615,9701786,67
616,9701790,76
617,9701793,12
618,9702654,87
619,9702672,74
620,9713895,83
621,9714172,44
622,9714174,44
623,9714180,44
624,9727414,50
625,9793978,45
626,9816644,31
627,9701724,20
628,9701772,58
629,9701774,12
630,9701776,76
631,9701777,76
632,9701784,7
633,9701794,51
634,9702639,58
635,9702680,0
636,9713894,83
637,9713896,49
638,9714166,32
639,9714169,32
640,9714170,83
641,9727432,54
642,9701741,21
643,9701742,49
644,9701743,21
645,9701745,21
646,9701746,21
647,9701747,21
648,9701748,21
649,9701750,49
650,9701751,21
651,9701752,21
652,9701753,21
653,9701754,21
654,9701755,21
655,9701756,49
656,9701758,45
657,9701759,45
658,9701763,45
659,9701791,95
660,9701792,21
661,9701800,76
662,9701803,21
663,9701820,76
664,9701821,76
665,9702643,30
666,9702653,58
667,9702655,87
668,9727431,30
669,9793976,49
670,9839927,39
671,9701744,99
672,9701765,78
673,9701769,67
674,9701773,32
675,9701814,67
676,9701815,31
677,9702673,50
678,9713869,40
679,9713900,45
680,9714188,45
681,9727430,54
682,9774029,40
683,9793980,1
684,9793998,76
685,9682670,78
686,9683112,30
687,9701760,1
688,9701761,58
689,9701762,21
690,9702644,58
691,9702652,58
692,9713873,40
693,9727429,68
694,9816582,12
695,9816651,93
696,9682617,40
697,9682618,40
698,9682631,21
699,9682636,21
700,9682640,49
701,9682644,21
702,9682653,67
703,9682654,76
704,9682655,12
705,9682659,67
706,9682660,12
707,9682669,21
708,9682672,21
709,9682675,76
710,9682686,17
711,9683109,58
712,9683116,0
713,9701757,1
714,9701764,17
715,9702671,0
716,9714362,75
717,9774018,0
718,9790397,20
719,9793974,21
720,9682627,31
721,9682628,31
722,9682645,95
723,9682646,44
724,9682663,78
725,9682690,69
726,9683107,68
727,9683124,87
728,9701739,39
729,9702678,68
730,9713915,45
731,9682629,51
732,9682635,99
733,9682643,12
734,9682648,67
735,9682650,83
736,9682651,44
737,9682652,67
738,9682664,78
739,9682665,78
740,9682680,99
741,9682681,67
742,9682684,45
743,9683106,68
744,9683108,58
745,9683110,58
746,9701734,67
747,9701770,67
748,9713893,17
749,9835014,67
750,9682614,90
751,9682637,76
752,9682667,67
753,9682679,51
754,9683113,75
755,9683114,75
756,9683117,40
757,9683119,50
758,9702670,75
759,9702676,0
760,9727418,50
761,9682625,67
762,9682632,67
763,9682633,32
764,9682639,99
765,9682641,99
766,9682642,99
767,9682647,67
768,9682649,12
769,9682658,67
770,9682668,67
771,9682677,95
772,9682683,45
773,9683111,58
774,9701738,12
775,9701805,58
776,9701806,58
777,9713892,17
778,9682613,40
779,9682634,44
780,9682638,39
781,9682678,83
782,9713890,93
783,9713891,31
784,9753551,45
785,9772569,20
786,9669261,45
787,9669266,45
788,9669535,45
789,9682612,32
790,9682630,76
791,9682666,45
792,9682676,95
793,9682682,76
794,9701801,76
795,9701802,67
796,9793968,45
797,9793969,67
798,9793970,45
799,9793971,45
800,9812263,21
801,9668916,58
802,9668921,75
803,9669257,49
804,9669258,12
805,9669263,95
806,9669528,15
807,9669536,45
808,9682623,31
809,9683118,40
810,9701810,66
811,9702646,54
812,9702648,54
813,9702649,54
814,9702656,50
815,9702658,30
816,9702659,22
817,9714183,95
818,9669093,50
819,9669260,51
820,9669415,78
821,9669416,76
822,9669417,76
823,9669497,67
824,9669523,66
825,9669524,45
826,9669530,45
827,9682610,40
828,9682624,39
829,9701822,31
830,9702651,30
831,9702660,22
832,9772567,20
833,9793967,45
834,9668922,68
835,9668923,68
836,9669158,54
837,9669218,91
838,9669247,76
839,9669254,66
840,9669407,65
841,9669418,32
842,9669426,90
843,9669498,21
