,data_id,cluster_label
0,9772943,14
1,9772944,14
2,9772959,14
3,9772989,63
4,9772990,27
5,9774118,13
6,9774130,13
7,9774254,32
8,9774260,32
9,9774264,32
10,9772939,14
11,9772940,63
12,9772941,63
13,9772949,14
14,9772950,14
15,9772951,63
16,9772952,63
17,9772953,63
18,9772960,63
19,9772961,14
20,9772962,63
21,9772968,63
22,9772991,81
23,9773889,9
24,9774059,98
25,9774060,9
26,9774123,13
27,9774124,12
28,9774129,13
29,9774258,32
30,9774261,12
31,9774262,32
32,9774266,32
33,9790862,9
34,9772948,14
35,9772956,14
36,9772963,14
37,9772966,14
38,9772967,14
39,9772973,63
40,9772976,27
41,9772998,6
42,9774117,13
43,9774126,13
44,9774127,13
45,9774128,13
46,9774263,32
47,9774265,32
48,9816964,27
49,9772942,14
50,9772945,63
51,9772964,14
52,9772970,24
53,9772975,14
54,9772992,63
55,9773887,9
56,9773888,9
57,9773890,9
58,9774115,13
59,9774116,13
60,9774122,9
61,9774132,13
62,9774252,12
63,9774257,32
64,9794984,27
65,9794986,27
66,9802230,27
67,9802285,27
68,9816963,14
69,9772972,14
70,9772977,27
71,9772978,27
72,9772982,27
73,9774058,27
74,9774061,9
75,9802231,27
76,9729727,32
77,9729734,32
78,9729746,32
79,9772971,63
80,9772981,27
81,9772983,27
82,9774057,27
83,9794958,27
84,9794985,27
85,9802232,27
86,9802233,27
87,9715207,14
88,9715208,14
89,9715209,97
90,9715215,27
91,9715229,63
92,9729574,13
93,9729582,13
94,9729583,13
95,9729733,32
96,9729735,32
97,9729736,32
98,9729737,32
99,9729738,32
100,9729739,32
101,9729740,32
102,9729741,32
103,9729743,32
104,9802284,27
105,9715197,63
106,9715198,27
107,9715200,27
108,9715201,27
109,9715205,14
110,9715206,27
111,9715210,63
112,9715211,63
113,9715214,14
114,9715216,14
115,9715224,81
116,9715225,6
117,9715226,6
118,9715227,6
119,9715228,6
120,9729510,98
121,9729566,13
122,9729567,13
123,9729571,13
124,9729578,13
125,9729729,32
126,9729732,32
127,9794989,71
128,9816959,71
129,9715212,14
130,9715221,6
131,9729351,9
132,9729528,9
133,9729529,85
134,9729530,9
135,9729569,13
136,9729570,13
137,9729572,13
138,9729573,13
139,9729576,13
140,9729728,32
141,9729731,9
142,9729742,32
143,9773000,27
144,9773891,9
145,9790835,27
146,9715188,63
147,9715189,63
148,9715190,63
149,9715191,14
150,9715193,71
151,9715199,14
152,9715213,14
153,9715217,14
154,9715218,14
155,9715219,14
156,9715220,63
157,9715223,63
158,9729568,13
159,9729577,13
160,9729579,13
161,9729581,13
162,9729730,32
163,9729744,32
164,9729745,32
165,9772932,27
166,9794957,6
167,9835455,27
168,9715187,12
169,9715192,27
170,9715236,27
171,9729565,13
172,9715184,27
173,9715185,27
174,9715202,14
175,9715203,27
176,9715204,14
177,9715222,27
178,9729509,98
179,9729575,12
180,9835454,27
181,9715232,27
182,9715280,63
183,9715346,14
184,9715347,14
185,9727528,47
186,9727651,13
187,9727698,13
188,9727699,13
189,9728128,32
190,9728149,12
191,9774042,47
192,9715239,63
193,9715320,14
194,9715342,63
195,9715343,14
196,9715348,14
197,9715369,14
198,9715390,63
199,9715391,63
200,9727194,9
201,9727653,13
202,9727707,13
203,9727720,13
204,9728126,32
205,9728127,32
206,9728136,32
207,9728137,12
208,9728147,32
209,9728148,32
210,9728157,32
211,9774131,12
212,9794981,20
213,9715238,63
214,9715330,14
215,9715344,14
216,9715387,14
217,9715389,63
218,9727195,9
219,9727656,13
220,9727704,13
221,9727706,13
222,9727719,9
223,9794980,20
224,9715259,27
225,9715338,81
226,9715350,14
227,9715352,6
228,9715362,14
229,9715412,20
230,9727561,27
231,9727709,13
232,9728125,32
233,9728131,32
234,9728132,12
235,9728135,32
236,9728144,32
237,9728145,32
238,9728146,32
239,9794971,27
240,9794983,71
241,9715257,27
242,9715258,27
243,9715270,14
244,9715272,63
245,9715273,63
246,9715275,14
247,9715315,14
248,9715329,14
249,9727192,9
250,9727559,27
251,9727560,6
252,9727717,13
253,9727718,13
254,9715345,14
255,9727557,27
256,9727558,9
257,9727647,13
258,9727708,13
259,9728153,32
260,9728164,12
261,9729580,13
262,9794967,6
263,9794973,63
264,9715256,27
265,9715367,14
266,9715368,14
267,9715370,63
268,9715386,63
269,9715392,27
270,9727556,9
271,9727662,13
272,9727663,13
273,9727664,13
274,9727665,9
275,9727666,13
276,9727667,13
277,9727668,13
278,9727669,13
279,9727670,13
280,9727671,13
281,9727672,13
282,9727673,13
283,9727674,13
284,9727675,13
285,9727676,13
286,9727677,13
287,9727678,13
288,9727679,13
289,9727680,13
290,9727681,13
291,9727682,13
292,9727683,13
293,9727684,13
294,9727685,13
295,9727686,13
296,9727687,13
297,9727688,9
298,9727689,13
299,9727690,13
300,9727691,13
301,9727692,13
302,9727693,13
303,9727694,13
304,9727695,13
305,9727696,13
306,9727697,13
307,9727716,13
308,9728155,32
309,9794961,63
310,9794962,6
311,9794970,27
312,9715250,27
313,9715255,27
314,9715332,63
315,9715384,63
316,9715406,27
317,9715409,71
318,9727210,9
319,9728129,32
320,9728134,32
321,9794968,20
322,9794976,20
323,9794977,71
324,9794978,20
325,9794979,20
326,9715244,14
327,9715249,27
328,9715269,14
329,9715278,14
330,9715281,14
331,9715334,14
332,9715358,63
333,9727555,27
334,9727650,13
335,9727657,13
336,9727660,13
337,9727700,13
338,9728143,32
339,9794964,71
340,9715364,14
341,9727203,9
342,9727705,13
343,9727710,13
344,9794975,27
345,9794982,27
346,9715243,14
347,9715312,63
348,9715349,14
349,9715356,14
350,9715383,63
351,9727552,9
352,9727652,13
353,9728158,32
354,9794969,71
355,9715237,14
356,9715276,14
357,9715282,97
358,9715305,63
359,9715306,63
360,9715307,63
361,9715308,63
362,9715309,63
363,9715310,63
364,9715313,63
365,9715314,63
366,9715316,63
367,9715317,63
368,9715318,63
369,9715321,63
370,9715322,63
371,9715323,63
372,9715324,63
373,9715340,63
374,9715341,63
375,9727527,27
376,9727659,13
377,9728150,32
378,9728163,32
379,9822698,97
380,9715241,6
381,9715246,27
382,9715247,27
383,9715248,27
384,9715277,63
385,9715326,63
386,9715333,27
387,9715366,14
388,9715381,63
389,9727191,9
390,9727551,98
391,9715245,27
392,9715311,14
393,9715327,63
394,9715328,14
