,data_id,cluster_label
0,9772769,26
1,9772810,67
2,9772811,67
3,9772812,28
4,9772813,82
5,9773001,65
6,9790849,21
7,9790856,78
8,9835007,21
9,9772762,67
10,9772809,82
11,9773009,65
12,9773013,4
13,9790855,78
14,9790857,78
15,9773004,21
16,9816862,21
17,9772767,67
18,9772768,30
19,9772808,30
20,9772805,30
21,9772806,82
22,9772807,30
23,9773003,65
24,9773010,65
25,9817030,4
26,9772753,62
27,9772758,65
28,9772761,82
29,9772766,26
30,9772804,48
31,9772803,5
32,9773012,65
33,9714739,82
34,9714740,41
35,9714741,96
36,9714742,30
37,9715428,78
38,9772765,26
39,9773002,65
40,9802286,65
41,9772764,67
42,9773011,65
43,9790612,26
44,9714734,30
45,9714735,30
46,9714736,82
47,9714737,26
48,9714738,96
49,9790588,26
50,9715426,65
51,9772802,67
52,9714733,41
53,9772801,41
54,9773008,4
55,9835516,79
56,9714753,96
57,9715417,48
58,9715434,4
59,9714719,62
60,9715424,65
61,9715425,78
62,9714732,67
63,9714775,82
64,9715418,65
65,9714752,96
66,9715420,9
67,9714768,26
68,9714769,26
69,9802100,21
70,9714767,26
71,9715433,65
72,9790859,4
73,9715416,48
74,9802099,26
75,9715419,9
76,9715432,4
77,9715437,78
78,9714757,85
79,9714761,85
80,9714766,26
81,9714773,67
82,9714748,30
83,9714756,85
84,9714746,85
85,9715436,4
86,9714751,85
87,9714744,22
88,9714745,22
89,9714749,30
90,9714772,30
91,9714750,22
92,9714754,22
93,9714755,74
94,9714759,22
95,9714762,22
96,9772800,48
97,9714771,30
98,9715414,21
99,9715429,4
100,9802098,21
101,9702006,96
102,9702007,85
103,9714760,22
104,9714765,26
105,9714774,30
106,9701999,85
107,9702000,85
108,9702001,22
109,9702002,85
110,9702003,85
111,9702004,22
112,9702005,85
113,9714747,96
114,9701991,96
115,9701992,85
116,9701993,85
117,9701994,85
118,9701995,85
119,9701996,22
120,9701997,22
121,9701998,22
122,9714763,22
123,9714764,26
124,9701977,74
125,9701978,85
126,9701979,22
127,9701980,22
128,9701981,22
129,9701982,22
130,9701983,22
131,9701984,22
132,9701985,22
133,9701986,22
134,9701987,22
135,9701988,22
136,9701989,74
137,9701990,74
138,9702154,4
139,9701973,22
140,9701974,22
141,9701975,22
142,9701976,74
143,9714770,79
144,9701972,67
145,9713871,65
146,9701971,93
147,9683027,4
148,9701970,85
149,9682797,62
150,9682875,22
151,9682876,22
152,9682877,22
153,9682878,52
154,9682879,41
155,9682880,85
156,9701968,22
157,9701969,26
158,9682867,52
159,9682868,22
160,9682869,93
161,9682870,91
162,9682871,85
163,9682872,85
164,9682873,22
165,9682874,79
166,9683024,78
167,9683025,21
168,9683026,4
169,9702151,65
170,9682862,22
171,9682863,22
172,9682864,79
173,9682865,22
174,9682866,22
175,9683019,9
176,9682855,22
177,9682856,81
178,9682857,79
179,9682858,60
180,9682859,22
181,9682860,22
182,9682861,22
183,9682852,22
184,9682853,81
185,9682854,22
186,9683023,21
187,9682846,93
188,9682847,91
189,9682848,79
190,9682849,22
191,9682850,22
192,9682851,22
193,9683018,21
194,9669320,30
195,9669423,22
196,9682837,91
197,9682838,22
198,9669316,60
199,9669317,65
200,9669318,60
201,9669319,91
202,9669428,60
203,9669510,60
204,9669314,22
205,9669315,30
206,9669405,78
207,9669424,30
208,9669437,30
209,9669558,21
210,9669587,4
211,9682845,48
212,9683022,78
213,9669312,22
214,9669313,91
215,9669402,78
216,9669436,93
217,9669438,52
218,9669444,22
219,9669449,93
220,9669475,93
221,9669476,22
222,9669506,62
223,9669541,22
224,9669557,48
225,9682844,65
226,9669306,81
227,9669307,60
228,9669308,22
229,9669309,22
230,9669310,30
231,9669311,41
232,9669413,65
233,9669427,79
234,9669440,91
235,9669442,91
236,9669474,79
237,9682843,93
238,9669304,79
239,9669305,81
240,9682842,30
241,9669401,48
242,9669404,4
243,9669439,60
244,9669588,21
245,9682836,5
246,9642217,5
247,9669297,62
248,9669303,91
249,9669443,30
250,9669505,78
251,9669589,21
252,9835006,78
253,9642221,60
254,9642223,81
255,9773007,65
256,9835005,78
257,9642218,60
258,9642338,5
259,9642375,91
260,9642399,93
261,9642477,5
262,9669302,5
263,9835004,78
264,9642215,52
265,9642216,30
266,9642290,21
267,9642337,60
268,9642380,41
269,9642474,93
270,9642489,21
271,9642494,9
272,9835003,78
273,9835369,21
274,9642209,62
275,9642374,30
276,9642376,93
277,9642378,93
278,9642379,60
279,9642491,78
280,9642496,48
281,9642497,48
282,9669403,21
283,9669414,21
284,9835002,78
285,9642214,65
286,9682835,5
287,9822703,78
288,9633791,91
289,9633979,52
290,9633988,60
291,9634078,78
292,9642211,5
293,9642212,60
294,9642339,52
295,9642377,30
296,9642398,93
297,9642495,78
298,9633787,91
299,9633788,5
300,9633790,91
301,9633865,79
302,9633938,91
303,9633958,93
304,9633959,93
305,9633989,91
306,9634028,93
307,9642545,93
308,9633798,91
309,9633936,26
310,9633939,5
311,9633980,91
312,9633985,91
313,9634066,91
314,9669441,30
315,9633789,91
316,9633869,4
317,9633924,4
318,9633927,91
319,9633950,91
320,9634065,91
321,9714720,62
322,9633797,65
323,9633864,78
324,9633946,60
325,9633951,26
326,9633957,91
327,9634018,62
328,9634029,93
329,9634064,93
330,9633868,65
331,9633934,91
332,9633942,30
333,9633947,41
334,9634081,79
335,9634114,78
336,9634116,4
337,9634122,65
338,9610132,79
339,9610196,4
340,9633941,91
341,9633943,93
342,9633944,93
343,9634007,26
344,9634077,9
345,9634115,65
346,9634118,21
347,9642213,81
348,9669301,65
349,9609942,5
350,9610019,78
351,9610069,60
352,9610166,79
353,9610197,4
354,9633866,65
355,9633867,9
356,9633935,91
357,9633945,91
358,9634016,62
359,9634017,62
360,9634079,21
361,9682834,22
362,9714729,52
363,9609941,48
364,9610067,93
365,9610110,62
366,9610163,62
367,9633940,91
368,9609937,93
369,9610074,93
370,9610083,60
371,9610097,93
372,9610158,93
373,9633930,26
374,9633933,5
375,9642299,5
376,9669300,5
377,9682833,22
378,9609934,5
379,9609935,5
380,9609940,5
381,9610066,60
382,9610073,93
383,9610076,5
384,9610167,65
385,9669299,5
386,9610051,65
387,9610065,30
388,9609936,5
389,9609939,5
390,9610054,5
391,9610071,5
392,9642301,65
393,9609938,60
394,9610072,93
395,9610159,5
396,9610198,41
397,9594345,5
398,9594346,60
399,9594767,22
400,9610070,30
401,9610100,65
402,9594344,60
403,9594349,5
404,9594350,79
405,9594538,22
406,9594559,60
407,9594561,5
408,9594728,67
409,9634022,5
410,9594340,62
411,9594343,5
412,9594541,78
413,9594542,78
414,9594543,78
415,9594563,5
416,9594639,78
417,9594980,78
418,9835543,4
419,9594520,4
420,9594537,30
421,9594545,5
422,9594557,93
423,9594558,30
424,9642476,26
425,9594562,41
426,9594583,30
427,9594680,62
428,9594978,65
429,9582479,5
430,9594566,93
431,9594681,62
432,9594682,78
433,9594684,82
434,9594723,41
435,9790587,41
436,9582678,22
437,9582691,79
438,9582749,93
439,9582770,21
440,9594519,78
441,9594979,65
442,9633793,21
443,9634021,22
444,9634070,30
445,9582251,91
446,9582252,79
447,9582253,30
448,9582486,93
449,9582750,22
450,9594560,91
451,9594591,93
452,9642336,81
453,9582249,5
454,9582250,79
455,9582461,93
456,9582475,5
457,9582477,5
458,9582504,93
459,9582558,67
460,9582564,5
461,9582679,22
462,9582739,22
463,9610064,5
464,9582245,33
465,9582246,5
466,9582247,5
467,9582248,5
468,9582382,78
469,9582383,4
470,9582474,30
471,9582476,5
472,9582478,30
473,9582557,22
474,9582621,67
475,9582670,93
476,9682832,5
477,9582381,21
478,9634023,26
479,9582503,48
480,9582774,21
481,9582775,48
482,9610060,21
483,9634117,65
484,9714758,93
485,9573638,93
486,9573640,5
487,9573823,30
488,9582244,60
489,9582484,52
490,9582487,79
491,9582669,60
492,9582773,62
493,9582953,4
494,9573760,21
495,9573792,28
496,9573825,30
497,9573852,93
498,9573869,48
499,9582243,52
500,9582380,4
501,9594462,21
502,9573639,5
503,9573766,60
504,9573780,5
505,9573824,30
506,9573853,93
507,9573854,91
508,9582473,82
509,9582485,52
510,9634071,52
511,9714728,93
512,9573641,5
513,9573706,78
514,9573752,93
515,9573753,93
516,9573759,30
517,9573781,60
518,9573791,60
519,9573793,60
520,9573794,5
521,9610061,21
522,9573637,5
523,9573751,93
524,9573761,81
525,9573764,30
526,9573798,5
527,9573855,5
528,9582954,21
529,9573642,30
530,9573643,67
531,9573762,21
532,9573763,60
533,9573820,62
534,9573861,52
535,9573634,62
536,9573709,4
537,9573744,65
538,9573746,30
539,9573902,21
540,9564899,5
541,9564984,93
542,9573708,65
543,9573788,22
544,9573789,60
545,9573790,91
546,9573812,78
547,9573822,5
548,9564727,30
549,9564882,30
550,9564913,67
551,9565064,78
552,9573821,62
553,9714727,48
554,9564827,78
555,9564901,5
556,9565112,78
557,9565117,4
558,9573636,93
559,9564733,65
560,9564828,78
561,9564848,78
562,9564884,30
563,9564885,48
564,9564902,60
565,9564903,93
566,9564938,60
567,9565042,22
568,9565116,26
569,9573819,41
570,9564886,93
571,9565062,79
572,9565118,78
573,9573635,67
574,9564732,41
575,9564900,60
576,9565119,28
577,9682841,30
578,9564730,26
579,9565111,78
580,9573868,79
581,9508432,79
582,9564826,79
583,9565058,79
584,9508434,78
585,9564728,26
586,9564904,93
587,9564993,65
588,9565063,79
589,9565066,79
590,9565113,4
591,9565114,65
592,9565115,21
593,9508166,22
594,9508173,82
595,9508297,22
596,9508350,93
597,9508351,22
598,9508382,26
599,9565060,62
600,9565061,79
601,9508176,41
602,9508295,22
603,9508298,21
604,9508312,78
605,9508313,30
606,9508314,67
607,9508322,93
608,9508380,67
609,9508435,78
610,9508165,91
611,9508169,91
612,9508175,21
613,9508299,22
614,9508315,22
615,9508316,5
616,9508317,65
617,9508348,93
618,9508370,82
619,9508381,91
620,9564847,22
621,9508412,93
622,9508482,28
623,9508168,91
624,9508172,60
625,9573705,21
626,9573904,4
627,9499134,60
628,9499224,78
629,9508164,52
630,9508167,22
631,9508171,52
632,9508296,30
633,9508431,79
634,9499228,21
635,9508170,52
636,9508174,93
637,9508416,93
638,9508479,65
639,9499111,91
640,9499112,91
641,9499120,91
642,9499146,91
643,9498980,91
644,9498981,91
645,9499102,30
646,9499121,91
647,9499145,22
648,9499217,93
649,9499227,62
650,9508318,81
651,9498979,91
652,9498986,41
653,9498987,60
654,9499068,21
655,9499110,60
656,9499113,60
657,9499118,92
658,9499142,22
659,9499144,30
660,9499147,93
661,9499225,62
662,9499297,78
663,9499116,52
664,9499229,79
665,9498985,91
666,9499109,78
667,9499115,60
668,9499230,79
669,9499232,79
670,9508433,79
671,9564726,26
672,9594348,41
673,9489382,91
674,9489631,93
675,9498983,41
676,9498984,30
677,9499069,78
678,9499100,30
679,9499114,30
680,9499125,93
681,9499143,22
682,9499148,91
683,9499162,78
684,9489383,22
685,9489384,52
686,9489557,91
687,9489584,91
688,9489588,26
689,9499101,41
690,9499163,78
691,9499199,52
692,9499200,41
693,9499298,26
