,data_id,cluster_label
0,9773897,17
1,9773898,4
2,9773904,2
3,9773905,17
4,9773910,37
5,9773946,1
6,9774054,54
7,9774092,24
8,9774098,24
9,9774108,20
10,9774139,10
11,9774163,72
12,9774189,23
13,9774199,10
14,9774205,19
15,9774212,29
16,9774215,29
17,9790877,24
18,9790882,20
19,9790884,20
20,9790897,20
21,9790906,90
22,9790909,90
23,9790910,72
24,9790911,90
25,9790913,20
26,9790994,71
27,9791033,87
28,9791047,44
29,9791097,10
30,9791099,29
31,9791102,10
32,9791163,72
33,9791180,80
34,9791198,77
35,9804181,39
36,9817536,2
37,9773900,87
38,9773902,87
39,9773918,19
40,9773932,66
41,9773939,24
42,9774047,19
43,9774050,54
44,9774056,71
45,9774067,39
46,9774069,39
47,9774072,58
48,9774076,87
49,9774080,1
50,9774084,4
51,9774091,90
52,9774105,87
53,9774106,87
54,9774109,20
55,9774142,10
56,9774151,56
57,9774179,89
58,9774201,10
59,9774209,10
60,9774213,67
61,9774242,71
62,9790918,20
63,9791012,4
64,9791024,36
65,9791055,54
66,9791079,20
67,9791112,23
68,9791172,72
69,9791186,4
70,9791187,80
71,9801054,19
72,9801142,25
73,9801170,24
74,9801171,24
75,9804182,39
76,9773899,4
77,9773909,87
78,9773913,19
79,9773919,24
80,9773920,87
81,9773923,87
82,9774012,73
83,9774048,23
84,9774051,54
85,9774065,39
86,9774079,95
87,9774087,2
88,9774096,36
89,9774099,24
90,9774111,87
91,9774133,29
92,9774135,25
93,9774140,10
94,9774141,10
95,9774149,25
96,9774150,72
97,9774154,25
98,9774155,19
99,9774164,86
100,9774165,86
101,9774168,90
102,9774171,89
103,9774174,89
104,9774194,10
105,9774211,29
106,9774216,29
107,9774217,29
108,9790916,20
109,9791011,95
110,9791053,54
111,9791113,25
112,9791139,72
113,9791155,10
114,9791182,58
115,9773892,44
116,9773893,44
117,9773894,44
118,9773903,87
119,9773925,87
120,9773942,54
121,9773945,87
122,9774071,2
123,9774095,44
124,9774097,24
125,9774102,4
126,9774134,90
127,9774136,56
128,9774152,58
129,9774157,19
130,9774159,86
131,9774160,86
132,9774178,89
133,9774180,25
134,9774181,72
135,9774192,10
136,9774208,67
137,9774226,44
138,9774227,44
139,9774231,37
140,9774234,80
141,9774240,4
142,9791027,87
143,9791121,58
144,9791137,58
145,9791165,72
146,9791167,72
147,9773906,87
148,9773908,2
149,9773911,72
150,9773914,2
151,9773915,37
152,9773917,87
153,9773921,87
154,9773930,37
155,9773931,37
156,9773934,2
157,9773941,87
158,9773943,20
159,9773944,20
160,9774046,73
161,9774049,25
162,9774078,20
163,9774083,4
164,9774086,87
165,9774100,36
166,9774103,4
167,9774156,19
168,9774158,19
169,9774161,23
170,9774167,86
171,9774176,89
172,9774191,90
173,9774198,10
174,9774202,25
175,9774206,10
176,9774228,44
177,9774238,80
178,9790878,24
179,9791107,89
180,9791108,89
181,9791110,72
182,9791114,23
183,9791166,72
184,9791168,0
185,9729404,95
186,9729442,2
187,9729534,39
188,9729561,2
189,9729562,66
190,9729563,87
191,9729564,44
192,9729709,80
193,9729720,44
194,9774082,20
195,9774101,58
196,9774143,10
197,9774195,10
198,9774233,44
199,9774239,80
200,9790875,72
201,9791125,67
202,9791153,44
203,9791157,10
204,9801057,19
205,9801059,44
206,9729437,2
207,9729438,2
208,9729439,87
209,9729441,2
210,9729526,77
211,9729527,77
212,9729541,80
213,9729555,80
214,9729556,80
215,9729557,80
216,9729558,2
217,9729560,24
218,9729589,10
219,9729596,29
220,9729599,19
221,9729600,56
222,9729685,10
223,9729686,10
224,9729687,19
225,9772685,71
226,9774138,72
227,9774182,23
228,9774186,72
229,9774230,44
230,9774235,80
231,9817535,24
232,9729408,20
233,9729430,2
234,9729432,2
235,9729433,2
236,9729434,58
237,9729436,2
238,9729525,54
239,9729536,66
240,9729540,95
241,9729552,2
242,9729553,2
243,9729554,36
244,9729594,29
245,9729595,29
246,9729672,19
247,9729673,10
248,9729674,67
249,9729675,7
250,9729676,19
251,9729677,10
252,9729678,44
253,9729679,58
254,9729680,10
255,9729681,67
256,9729682,23
257,9729683,10
258,9729684,23
259,9729718,71
260,9729719,71
261,9773896,24
262,9774053,44
263,9774137,72
264,9774153,10
265,9801068,25
266,9801077,90
267,9835874,36
268,9729406,20
269,9729407,20
270,9729427,2
271,9729428,2
272,9729429,58
273,9729537,44
274,9729538,20
275,9729539,20
276,9729550,85
277,9729592,25
278,9729593,29
279,9729598,19
280,9729667,19
281,9729668,10
282,9729669,89
283,9729671,23
284,9729711,71
285,9729714,71
286,9773924,2
287,9774162,86
288,9774175,89
289,9774204,10
290,9774236,80
291,9774237,80
292,9791007,2
293,9794422,23
294,9801066,44
295,9835895,2
296,9729405,20
297,9729424,2
298,9729425,2
299,9729426,37
300,9729524,54
301,9729533,39
302,9729545,85
303,9729546,36
304,9729547,44
305,9729548,24
306,9729549,87
307,9729654,23
308,9729655,19
309,9729656,19
310,9729657,10
311,9729658,85
312,9729659,89
313,9729660,67
314,9729661,67
315,9729662,58
316,9729663,58
317,9729665,10
318,9729706,80
319,9729707,80
320,9729708,80
321,9729713,54
322,9773922,87
323,9774177,72
324,9774250,24
325,9794421,23
326,9801055,77
327,9804183,39
328,9729400,44
329,9729401,19
330,9729402,19
331,9729416,2
332,9729417,2
333,9729418,2
334,9729419,4
335,9729420,58
336,9729421,58
337,9729422,4
338,9729423,58
339,9729512,25
340,9729543,95
341,9729544,24
342,9729588,7
343,9729591,7
344,9729638,25
345,9729639,85
346,9729640,10
347,9729641,10
348,9729642,58
349,9729643,72
350,9729644,23
351,9729645,72
352,9729648,25
353,9729649,10
354,9729650,25
355,9729651,58
356,9729652,72
357,9729653,72
358,9729703,80
359,9729704,44
360,9729705,2
361,9794420,23
362,9801067,19
363,9729411,2
364,9729412,87
365,9729413,24
366,9729414,37
367,9729415,36
368,9729490,19
369,9729522,54
370,9729523,54
371,9729587,7
372,9729597,23
373,9729602,25
374,9729629,19
375,9729630,67
376,9729631,67
377,9729632,89
378,9729633,67
379,9729634,29
380,9729636,72
381,9729637,89
382,9729700,58
383,9729701,80
384,9729702,4
385,9729715,71
386,9774173,7
387,9794419,23
388,9714483,44
389,9727226,54
390,9727234,25
391,9727252,20
392,9727253,20
393,9727254,20
394,9727260,0
395,9727381,36
396,9727382,2
397,9727383,60
398,9727384,20
399,9727545,19
400,9727585,72
401,9727642,95
402,9727643,95
403,9727644,95
404,9727645,80
405,9728026,56
406,9728117,58
407,9728118,80
408,9729410,37
409,9729489,25
410,9729515,71
411,9729521,54
412,9729601,25
413,9729623,86
414,9729624,19
415,9729626,89
416,9729627,19
417,9729628,19
418,9729697,80
419,9729698,4
420,9729699,80
421,9729716,71
422,9729717,71
423,9773949,0
424,9774169,19
425,9774183,23
426,9774184,23
427,9774203,10
428,9774210,72
429,9774222,56
430,9794418,23
431,9727225,1
432,9727239,1
433,9727378,24
434,9727379,2
435,9727380,2
436,9727474,73
437,9727544,19
438,9727641,36
439,9728023,7
440,9728024,86
441,9728025,10
442,9728116,19
443,9729409,37
444,9729513,71
445,9729520,77
446,9729542,44
447,9729617,29
448,9729619,72
449,9729620,72
450,9729621,72
451,9729694,80
452,9729695,80
453,9774221,10
454,9774223,24
455,9794417,23
456,9801209,37
457,9801210,37
458,9801211,37
459,9801212,37
460,9801213,37
461,9801214,85
462,9801215,85
463,9804184,39
464,9817611,72
465,9727233,95
466,9727374,2
467,9727375,2
468,9727376,4
469,9727377,17
470,9727543,19
471,9727577,85
472,9727584,85
473,9727639,85
474,9727640,44
475,9727737,10
476,9727750,29
477,9728013,67
478,9728014,10
479,9728015,25
480,9728016,10
481,9728017,23
482,9728018,19
483,9728019,29
484,9728020,72
485,9728021,72
486,9728022,72
487,9729514,71
488,9729615,72
489,9729689,80
490,9729690,80
491,9729691,80
492,9729692,4
493,9729693,4
494,9729721,54
495,9729722,54
496,9729723,54
497,9729726,44
498,9794416,23
499,9801074,44
500,9804185,39
501,9713876,39
502,9727371,2
503,9727372,2
504,9727373,87
505,9727478,23
506,9727532,25
507,9727579,95
508,9727637,95
509,9727638,95
510,9728007,85
511,9728008,85
512,9728009,19
513,9728010,72
514,9728011,72
515,9728012,19
516,9728111,80
517,9728112,58
518,9728113,4
519,9728114,80
520,9728115,2
521,9729614,72
522,9729688,4
523,9791203,19
524,9794415,23
525,9801058,19
526,9801065,44
527,9727365,2
528,9727366,36
529,9727367,44
530,9727368,87
531,9727369,4
532,9727370,87
533,9727635,85
534,9727636,58
535,9727743,7
536,9727746,67
537,9727747,10
538,9727751,10
539,9727756,29
540,9727995,86
541,9727996,56
542,9727997,23
543,9727998,72
544,9727999,23
545,9728000,23
546,9728001,0
547,9728002,72
548,9728003,0
549,9728004,90
550,9728005,72
551,9728006,72
552,9728108,80
553,9728109,80
554,9728110,80
555,9729511,71
556,9729611,72
557,9729612,0
558,9729724,77
559,9727359,87
560,9727360,60
561,9727361,36
562,9727362,2
563,9727363,2
564,9727364,72
565,9727564,39
566,9727632,44
567,9727633,24
568,9727634,66
569,9727779,29
570,9727987,19
571,9727988,7
572,9727989,19
573,9727990,72
574,9727991,19
575,9727992,19
576,9727993,10
577,9727994,67
578,9729725,19
579,9773916,2
580,9727238,1
581,9727352,72
582,9727353,24
583,9727354,72
584,9727355,2
585,9727356,36
586,9727357,1
587,9727358,77
588,9727534,25
589,9727542,0
590,9727631,77
591,9727748,10
592,9727981,86
593,9727982,23
594,9727983,10
595,9727984,10
596,9727985,10
597,9727986,10
598,9729608,58
599,9729609,10
600,9729610,72
601,9727251,44
602,9727345,44
603,9727346,2
604,9727347,72
605,9727348,87
606,9727349,24
607,9727350,1
608,9727351,4
609,9727541,19
610,9727630,2
611,9727769,10
612,9727963,19
613,9727964,10
614,9727965,10
615,9727966,67
616,9727967,67
617,9727968,10
618,9727969,10
619,9727970,89
620,9727971,89
621,9727972,89
622,9727973,89
623,9727974,89
624,9727975,89
625,9727976,89
626,9727977,58
627,9727978,89
628,9727979,10
629,9727980,10
630,9728107,80
631,9729519,44
632,9729590,23
633,9729606,72
634,9729607,72
635,9801075,44
636,9727240,1
637,9727250,20
638,9727340,87
639,9727341,60
640,9727342,2
641,9727343,4
642,9727344,1
643,9727566,39
644,9727740,29
645,9727755,29
646,9727757,29
647,9727956,29
648,9727958,72
649,9727959,72
650,9727960,19
651,9727961,20
652,9727962,90
653,9728106,90
654,9801062,44
655,9801235,10
