,importance,feature_names
2,0.11046425445181335,days_from_19970101
5,0.10791615356209437,event_type
4,0.0757069371837816,longitude
0,0.060342238682921566,#event_within_month
3,0.05930213063962022,latitude
13,0.054161028096207875,event_ctr_admin1_30
12,0.04815025812457057,event_ctr_admin1_-30
17,0.04635375679691674,event_ctr_admin2_30
8,0.04313435142923867,event_ctr_-30
1,0.04152808075247524,tranformed_fatality
16,0.03621831656082158,event_ctr_admin2_-30
9,0.034249628344094195,event_ctr_30
24,0.03255888850737464,event_ctr_actor1_inter_-30
21,0.030590300522263372,event_ctr_actor1_30
25,0.030552676696874753,event_ctr_actor1_inter_30
6,0.02657057650187639,interaction
20,0.02518603390533312,event_ctr_actor1_-30
10,0.021877824960264674,fatality_sum_-30
11,0.02109944062500779,fatality_sum_30
23,0.017379128814891964,fatality_sum_actor1_30
22,0.0171247210068579,fatality_sum_actor1_-30
14,0.013944141438757903,fatality_sum_admin1_-30
7,0.012343474589603266,country
18,0.009687638184172882,fatality_sum_admin2_-30
15,0.008811489330332127,fatality_sum_admin1_30
19,0.008185475285519451,fatality_sum_admin2_30
27,0.0035137873709944916,fatality_sum_actor1_inter_30
26,0.0030472676353191955,fatality_sum_actor1_inter_-30
